Barcode	Set	CellType
Cell-16	P11	C9
Cell-20	P11	C30
Cell-21	P11	C4
Cell-27	P11	C1
Cell-28	P11	C54
Cell-45	P11	C13
Cell-68	P11	C41
Cell-71	P11	C16
Cell-85	P11	C5
Cell-92	P11	C55
Cell-106	P11	C41
Cell-120	P11	C8
Cell-124	P11	C13
Cell-139	P11	C4
Cell-140	P11	C35
Cell-153	P11	C33
Cell-164	P11	C41
Cell-167	P11	C42
Cell-169	P11	C18
Cell-173	P11	C13
Cell-180	P11	C14
Cell-183	P11	C13
Cell-189	P11	C16
Cell-190	P11	C55
Cell-202	P11	C42
Cell-203	P11	C53
Cell-213	P11	C11
Cell-224	P11	C34
Cell-225	P11	C14
Cell-227	P11	C56
Cell-228	P11	C22
Cell-247	P11	C14
Cell-248	P11	C16
Cell-257	P11	C53
Cell-263	P11	C25
Cell-279	P11	C19
Cell-288	P11	C5
Cell-295	P11	C1
Cell-296	P11	C33
Cell-307	P11	C8
Cell-330	P11	C22
Cell-343	P11	C14
Cell-355	P11	C41
Cell-370	P11	C55
Cell-381	P11	C41
Cell-403	P11	C53
Cell-413	P11	C53
Cell-439	P11	C54
Cell-451	P11	C8
Cell-458	P11	C13
Cell-471	P11	C30
Cell-472	P11	C29
Cell-473	P11	C19
Cell-484	P11	C12
Cell-510	P11	C14
Cell-511	P11	C12
Cell-522	P11	C1
Cell-523	P11	C5
Cell-562	P11	C1
Cell-580	P11	C35
Cell-619	P11	C18
Cell-621	P11	C10
Cell-632	P11	C10
Cell-633	P11	C32
Cell-635	P11	C35
Cell-674	P11	C8
Cell-701	P11	C1
Cell-711	P11	C1
Cell-722	P11	C54
Cell-725	P11	C10
Cell-727	P11	C38
Cell-745	P11	C53
Cell-746	P11	C53
Cell-758	P11	C55
Cell-761	P11	C4
Cell-776	P11	C19
Cell-788	P11	C37
Cell-794	P11	C31
Cell-798	P11	C5
Cell-815	P11	C5
Cell-817	P11	C10
Cell-828	P11	C10
Cell-849	P11	C4
Cell-851	P11	C14
Cell-864	P11	C13
Cell-878	P11	C38
Cell-890	P11	C53
Cell-894	P11	C1
Cell-905	P11	C12
Cell-920	P11	C33
Cell-927	P11	C55
Cell-928	P11	C41
Cell-937	P11	C54
Cell-939	P11	C1
