scBarcode	Set	Origi	Type
human1_lib1.final_cell_0003	Donor1	acinar	acinar
human1_lib1.final_cell_0004	Donor1	acinar	acinar
human1_lib1.final_cell_0005	Donor1	acinar	acinar
human1_lib1.final_cell_0006	Donor1	acinar	acinar
human1_lib1.final_cell_0007	Donor1	beta	beta
human1_lib1.final_cell_0008	Donor1	acinar	acinar
human1_lib1.final_cell_0009	Donor1	acinar	acinar
human1_lib1.final_cell_0010	Donor1	acinar	acinar
human1_lib1.final_cell_0011	Donor1	acinar	acinar
human1_lib1.final_cell_0012	Donor1	acinar	acinar
human1_lib1.final_cell_0013	Donor1	delta	delta
human1_lib1.final_cell_0014	Donor1	delta	delta
human1_lib1.final_cell_0015	Donor1	beta	beta
human1_lib1.final_cell_0016	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0017	Donor1	beta	beta
human1_lib1.final_cell_0018	Donor1	acinar	acinar
human1_lib1.final_cell_0019	Donor1	ductal	ductal
human1_lib1.final_cell_0020	Donor1	beta	beta
human1_lib1.final_cell_0021	Donor1	beta	beta
human1_lib1.final_cell_0022	Donor1	alpha	alpha
human1_lib1.final_cell_0023	Donor1	ductal	ductal
human1_lib1.final_cell_0024	Donor1	beta	beta
human1_lib1.final_cell_0025	Donor1	delta	delta
human1_lib1.final_cell_0026	Donor1	alpha	alpha
human1_lib1.final_cell_0027	Donor1	beta	beta
human1_lib1.final_cell_0028	Donor1	acinar	acinar
human1_lib1.final_cell_0029	Donor1	acinar	acinar
human1_lib1.final_cell_0030	Donor1	beta	beta
human1_lib1.final_cell_0031	Donor1	delta	delta
human1_lib1.final_cell_0032	Donor1	delta	delta
human1_lib1.final_cell_0033	Donor1	delta	delta
human1_lib1.final_cell_0034	Donor1	delta	delta
human1_lib1.final_cell_0035	Donor1	beta	beta
human1_lib1.final_cell_0036	Donor1	acinar	acinar
human1_lib1.final_cell_0037	Donor1	beta	beta
human1_lib1.final_cell_0038	Donor1	beta	beta
human1_lib1.final_cell_0039	Donor1	beta	beta
human1_lib1.final_cell_0040	Donor1	delta	delta
human1_lib1.final_cell_0041	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0042	Donor1	beta	beta
human1_lib1.final_cell_0043	Donor1	delta	delta
