Barcode	Origi	Set
human1_lib1.final_cell_0003	acinar	Donor1
human1_lib1.final_cell_0004	acinar	Donor1
human1_lib1.final_cell_0005	acinar	Donor1
human1_lib1.final_cell_0006	acinar	Donor1
human1_lib1.final_cell_0007	beta	Donor1
human1_lib1.final_cell_0008	acinar	Donor1
human1_lib1.final_cell_0009	acinar	Donor1
human1_lib1.final_cell_0010	acinar	Donor1
human1_lib1.final_cell_0011	acinar	Donor1
human1_lib1.final_cell_0012	acinar	Donor1
human1_lib1.final_cell_0013	delta	Donor1
human1_lib1.final_cell_0014	delta	Donor1
human1_lib1.final_cell_0015	beta	Donor1
human1_lib1.final_cell_0016	activated_stellate	Donor1
human1_lib1.final_cell_0017	beta	Donor1
human1_lib1.final_cell_0018	acinar	Donor1
human1_lib1.final_cell_0019	ductal	Donor1
human1_lib1.final_cell_0020	beta	Donor1
human1_lib1.final_cell_0021	beta	Donor1
human1_lib1.final_cell_0022	alpha	Donor1
human1_lib1.final_cell_0023	ductal	Donor1
human1_lib1.final_cell_0024	beta	Donor1
human1_lib1.final_cell_0025	delta	Donor1
human1_lib1.final_cell_0026	alpha	Donor1
human1_lib1.final_cell_0027	beta	Donor1
human1_lib1.final_cell_0028	acinar	Donor1
human1_lib1.final_cell_0029	acinar	Donor1
human1_lib1.final_cell_0030	beta	Donor1
human1_lib1.final_cell_0031	delta	Donor1
human1_lib1.final_cell_0032	delta	Donor1
human1_lib1.final_cell_0033	delta	Donor1
human1_lib1.final_cell_0034	delta	Donor1
human1_lib1.final_cell_0035	beta	Donor1
human1_lib1.final_cell_0036	acinar	Donor1
human1_lib1.final_cell_0037	beta	Donor1
human1_lib1.final_cell_0038	beta	Donor1
human1_lib1.final_cell_0039	beta	Donor1
human1_lib1.final_cell_0040	delta	Donor1
human1_lib1.final_cell_0041	activated_stellate	Donor1
human1_lib1.final_cell_0042	beta	Donor1
human1_lib1.final_cell_0043	delta	Donor1
human1_lib1.final_cell_0044	activated_stellate	Donor1
human1_lib1.final_cell_0045	activated_stellate	Donor1
human1_lib1.final_cell_0046	activated_stellate	Donor1
human1_lib1.final_cell_0047	acinar	Donor1
human1_lib1.final_cell_0048	activated_stellate	Donor1
human1_lib1.final_cell_0049	delta	Donor1
human1_lib1.final_cell_0050	beta	Donor1
human1_lib1.final_cell_0051	delta	Donor1
human1_lib1.final_cell_0052	beta	Donor1
human1_lib1.final_cell_0053	acinar	Donor1
human1_lib1.final_cell_0054	beta	Donor1
human1_lib1.final_cell_0055	beta	Donor1
human1_lib1.final_cell_0056	activated_stellate	Donor1
human1_lib1.final_cell_0057	beta	Donor1
human1_lib1.final_cell_0058	beta	Donor1
human1_lib1.final_cell_0059	beta	Donor1
human1_lib1.final_cell_0060	beta	Donor1
