Barcode	Set	Platform	Type
GSE85241_D28.1_1	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_2	GSE85241	CEL-Seq2	EC
GSE85241_D28.1_3	GSE85241	CEL-Seq2	delta
GSE85241_D28.1_4	GSE85241	CEL-Seq2	beta
GSE85241_D28.1_5	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_13	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_15	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_17	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_26	GSE85241	CEL-Seq2	EC
GSE85241_D28.1_29	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_30	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_37	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_39	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_40	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_41	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_43	GSE85241	CEL-Seq2	beta
GSE85241_D28.1_49	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_50	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_51	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_52	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_55	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_61	GSE85241	CEL-Seq2	delta
GSE85241_D28.1_62	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_63	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_64	GSE85241	CEL-Seq2	EC
GSE85241_D28.1_65	GSE85241	CEL-Seq2	beta
GSE85241_D28.1_66	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_67	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_68	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_73	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_74	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_75	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_76	GSE85241	CEL-Seq2	PP
GSE85241_D28.1_77	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_80	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_85	GSE85241	CEL-Seq2	PP
GSE85241_D28.1_86	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_87	GSE85241	CEL-Seq2	acinar
GSE85241_D28.1_88	GSE85241	CEL-Seq2	alpha
GSE85241_D28.1_89	GSE85241	CEL-Seq2	delta
GSE85241_D28.1_90	GSE85241	CEL-Seq2	ductal
GSE85241_D28.1_91	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_1	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_2	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_4	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_5	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_13	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_15	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_16	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_17	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_18	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_19	GSE85241	CEL-Seq2	beta
GSE85241_D28.2_26	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_28	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_29	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_37	GSE85241	CEL-Seq2	PP
GSE85241_D28.2_38	GSE85241	CEL-Seq2	beta
GSE85241_D28.2_39	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_40	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_41	GSE85241	CEL-Seq2	MC
GSE85241_D28.2_42	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_43	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_49	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_51	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_52	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_53	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_61	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_63	GSE85241	CEL-Seq2	PP
GSE85241_D28.2_64	GSE85241	CEL-Seq2	ductal
GSE85241_D28.2_65	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_66	GSE85241	CEL-Seq2	EC
GSE85241_D28.2_68	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_73	GSE85241	CEL-Seq2	beta
GSE85241_D28.2_74	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_75	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_76	GSE85241	CEL-Seq2	EC
GSE85241_D28.2_78	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_79	GSE85241	CEL-Seq2	PP
GSE85241_D28.2_85	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_86	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_87	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_89	GSE85241	CEL-Seq2	acinar
GSE85241_D28.2_90	GSE85241	CEL-Seq2	alpha
GSE85241_D28.2_91	GSE85241	CEL-Seq2	PP
GSE85241_D28.3_1	GSE85241	CEL-Seq2	MC
GSE85241_D28.3_3	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_4	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_5	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_6	GSE85241	CEL-Seq2	beta
GSE85241_D28.3_7	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_8	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_13	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_14	GSE85241	CEL-Seq2	PP
GSE85241_D28.3_15	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_16	GSE85241	CEL-Seq2	delta
GSE85241_D28.3_17	GSE85241	CEL-Seq2	EC
GSE85241_D28.3_18	GSE85241	CEL-Seq2	PP
GSE85241_D28.3_25	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_26	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_27	GSE85241	CEL-Seq2	beta
GSE85241_D28.3_28	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_29	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_30	GSE85241	CEL-Seq2	beta
GSE85241_D28.3_31	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_37	GSE85241	CEL-Seq2	beta
GSE85241_D28.3_38	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_40	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_42	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_43	GSE85241	CEL-Seq2	EC
GSE85241_D28.3_44	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_49	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_50	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_51	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_52	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_53	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_54	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_55	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_61	GSE85241	CEL-Seq2	delta
GSE85241_D28.3_62	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_63	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_64	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_65	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_68	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_69	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_73	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_75	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_76	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_77	GSE85241	CEL-Seq2	acinar
